CMDLINE /home/gitpod/.pyenv/versions/3.11.1/bin/python3 test_memory.py
MEM 0.492188 1683792501.0588
MEM 25.164062 1683792501.1593
MEM 37.675781 1683792501.2596
MEM 47.074219 1683792501.3599
